cell_id,l0,l1,d0,d1,depth,near_boundary,trials,exact_recovery_frequency,mean_seed_fraction
103,0.411150269654063,0.4299393948801895,0.0625,0.07291666666666666,5,0,10,0.9,0.031191773202804564
104,0.411150269654063,0.4299393948801895,0.07291666666666666,0.08333333333333333,5,1,20,1.0,0.033191597684192185
105,0.4299393948801895,0.44872852010631603,0.0625,0.07291666666666666,5,0,10,0.7,0.03538251485205697
106,0.4299393948801895,0.44872852010631603,0.07291666666666666,0.08333333333333333,5,1,20,1.0,0.032930158537711154
107,0.44872852010631603,0.4863067705585691,0.041666666666666664,0.0625,4,0,10,0.5,0.034263447199480185
108,0.44872852010631603,0.46751764533244256,0.0625,0.07291666666666666,5,0,10,1.0,0.032922648925606916
109,0.44872852010631603,0.46751764533244256,0.07291666666666666,0.08333333333333333,5,1,20,0.95,0.03414845325292285
110,0.46751764533244256,0.4863067705585691,0.0625,0.07291666666666666,5,1,20,1.0,0.032702402644679156
111,0.46751764533244256,0.4863067705585691,0.07291666666666666,0.08333333333333333,5,1,20,1.0,0.03333790859189102
112,0.33599376874955683,0.3547828939756834,0.08333333333333333,0.09375,5,0,10,1.0,0.0337655618622945
113,0.33599376874955683,0.3547828939756834,0.09375,0.10416666666666666,5,1,20,1.0,0.03313241027882514
114,0.3547828939756834,0.37357201920180994,0.08333333333333333,0.09375,5,0,10,0.9,0.03276820202659636
115,0.3547828939756834,0.37357201920180994,0.09375,0.10416666666666666,5,1,20,1.0,0.03409563800553882
116,0.33599376874955683,0.3547828939756834,0.10416666666666666,0.11458333333333333,5,1,20,1.0,0.031330558143480715
117,0.33599376874955683,0.3547828939756834,0.11458333333333333,0.125,5,0,10,1.0,0.032053397927376506
118,0.3547828939756834,0.37357201920180994,0.10416666666666666,0.11458333333333333,5,0,10,1.0,0.03193694643210127
119,0.3547828939756834,0.37357201920180994,0.11458333333333333,0.125,5,0,10,1.0,0.031560258843464827
120,0.37357201920180994,0.39236114442793646,0.08333333333333333,0.09375,5,1,20,1.0,0.03239013420454127
121,0.37357201920180994,0.39236114442793646,0.09375,0.10416666666666666,5,1,20,1.0,0.0325600070510177
122,0.39236114442793646,0.411150269654063,0.08333333333333333,0.09375,5,1,20,1.0,0.03274832360620137
123,0.39236114442793646,0.411150269654063,0.09375,0.10416666666666666,5,0,10,1.0,0.03163548028229503
124,0.37357201920180994,0.411150269654063,0.10416666666666666,0.125,4,0,10,1.0,0.0317266321654852
125,0.33599376874955683,0.411150269654063,0.125,0.16666666666666666,3,0,10,1.0,0.032301257693302915
126,0.411150269654063,0.4299393948801895,0.08333333333333333,0.09375,5,1,20,0.95,0.03297829549264701
127,0.411150269654063,0.4299393948801895,0.09375,0.10416666666666666,5,0,10,1.0,0.03319218998187447
128,0.4299393948801895,0.44872852010631603,0.08333333333333333,0.09375,5,0,10,0.9,0.033448668063003624
129,0.4299393948801895,0.44872852010631603,0.09375,0.10416666666666666,5,0,10,1.0,0.03222080194560883
130,0.411150269654063,0.44872852010631603,0.10416666666666666,0.125,4,0,10,1.0,0.032898392308860734
131,0.44872852010631603,0.4863067705585691,0.08333333333333333,0.10416666666666666,4,0,10,1.0,0.03306429043232099
132,0.44872852010631603,0.4863067705585691,0.10416666666666666,0.125,4,0,10,1.0,0.03340679688319143
133,0.411150269654063,0.4863067705585691,0.125,0.16666666666666666,3,0,10,1.0,0.03226193159599863
134,0.4863067705585691,0.5614632714630752,0.0,0.041666666666666664,3,0,10,0.0,0.03389410440786842
135,0.4863067705585691,0.5238850210108221,0.041666666666666664,0.0625,4,0,10,0.6,0.03419042501729082
136,0.4863067705585691,0.5050958957846956,0.0625,0.07291666666666666,5,1,20,0.95,0.034260168266564105
137,0.4863067705585691,0.5050958957846956,0.07291666666666666,0.08333333333333333,5,0,10,1.0,0.032917911592987
138,0.5050958957846956,0.5238850210108221,0.0625,0.07291666666666666,5,1,20,0.95,0.03250229729312122
139,0.5050958957846956,0.5238850210108221,0.07291666666666666,0.08333333333333333,5,0,10,1.0,0.03174676476815565
140,0.5238850210108221,0.5614632714630752,0.041666666666666664,0.0625,4,0,10,0.9,0.03230659190514164
141,0.5238850210108221,0.5426741462369487,0.0625,0.07291666666666666,5,1,20,0.95,0.0330128733912589
142,0.5238850210108221,0.5426741462369487,0.07291666666666666,0.08333333333333333,5,0,10,1.0,0.033813945950396655
143,0.5426741462369487,0.5614632714630752,0.0625,0.07291666666666666,5,1,20,1.0,0.03407475200197062
144,0.5426741462369487,0.5614632714630752,0.07291666666666666,0.08333333333333333,5,0,10,1.0,0.033084124542864864
145,0.5614632714630752,0.6366197723675814,0.0,0.041666666666666664,3,0,10,0.0,0.034542020699511455
146,0.5614632714630752,0.5802523966892017,0.041666666666666664,0.05208333333333333,5,0,10,1.0,0.03403801968038066
147,0.5614632714630752,0.5802523966892017,0.05208333333333333,0.0625,5,1,20,1.0,0.03331114746797287
148,0.5802523966892017,0.5990415219153282,0.041666666666666664,0.05208333333333333,5,0,10,0.8,0.03486996859871746
149,0.5802523966892017,0.5990415219153282,0.05208333333333333,0.0625,5,1,20,1.0,0.03308161717981682
150,0.5614632714630752,0.5802523966892017,0.0625,0.07291666666666666,5,1,20,1.0,0.03344775093396949
151,0.5614632714630752,0.5802523966892017,0.07291666666666666,0.08333333333333333,5,0,10,1.0,0.03346169548019782
152,0.5802523966892017,0.5990415219153282,0.0625,0.07291666666666666,5,0,10,0.9,0.032765132773043416
153,0.5802523966892017,0.5990415219153282,0.07291666666666666,0.08333333333333333,5,0,10,1.0,0.03487218568046461
154,0.5990415219153282,0.6178306471414547,0.041666666666666664,0.05208333333333333,5,0,10,0.8,0.03284815732767598
155,0.5990415219153282,0.6178306471414547,0.05208333333333333,0.0625,5,1,20,0.8,0.033911220648635415
156,0.6178306471414547,0.6366197723675814,0.041666666666666664,0.05208333333333333,5,0,10,0.7,0.03287009257345646
157,0.6178306471414547,0.6366197723675814,0.05208333333333333,0.0625,5,1,20,1.0,0.03252790468277289
158,0.5990415219153282,0.6366197723675814,0.0625,0.08333333333333333,4,0,10,1.0,0.032811933997649416
159,0.4863067705585691,0.6366197723675814,0.08333333333333333,0.16666666666666666,2,0,10,1.0,0.03240948122238118
160,0.33599376874955683,0.6366197723675814,0.16666666666666666,0.3333333333333333,1,0,10,1.0,0.03400295449561898
161,0.6366197723675814,0.7757923008216336,0.0,0.041666666666666664,3,0,10,0.0,0.032430398972283496
162,0.6366197723675814,0.6714129044810944,0.041666666666666664,0.05208333333333333,5,0,10,0.8,0.0320720386110198
163,0.6366197723675814,0.6714129044810944,0.05208333333333333,0.0625,5,1,20,1.0,0.03351069864361987
164,0.6714129044810944,0.7062060365946075,0.041666666666666664,0.05208333333333333,5,1,20,1.0,0.03361832514977543
165,0.6714129044810944,0.7062060365946075,0.05208333333333333,0.0625,5,1,20,1.0,0.03278132102816001
166,0.6366197723675814,0.7062060365946075,0.0625,0.08333333333333333,4,0,10,1.0,0.03283900483295386
167,0.7062060365946075,0.7409991687081205,0.041666666666666664,0.05208333333333333,5,1,20,1.0,0.03295769716438137
168,0.7062060365946075,0.7409991687081205,0.05208333333333333,0.0625,5,0,10,1.0,0.03267581107671919
169,0.7409991687081205,0.7757923008216336,0.041666666666666664,0.05208333333333333,5,1,20,0.95,0.03262039141520366
170,0.7409991687081205,0.7757923008216336,0.05208333333333333,0.0625,5,0,10,1.0,0.03389310452124593
